ID,grNumber,po_ID,location_ID,receivedBy,createdAt,createdBy,modifiedAt,modifiedBy
1e2901a9-24d8-47e0-8dc8-4218f7a29a25,GR-5000,3b21cacf-f1b5-4b69-bf8d-dcf2e49e7a9d,8d38cdf8-e198-4e2f-abea-f7d3a42e1c8d,jkim,2026-07-03T18:17:00Z,admin,2026-07-03T18:17:00Z,lchen
2318e13a-7002-4ce5-a590-387f7b22af44,GR-5001,cbd770ac-25e0-4493-83c2-03dba99ffbb7,eb366403-27af-4380-9d74-800a53ab8081,mgarcia,2026-07-21T16:15:00Z,asharma,2026-07-21T16:15:00Z,system
5a471815-488a-4abb-bbdf-4df2b1314d6f,GR-5002,89dc2d99-1f53-43f0-a2b9-2f0df5283782,f865d5fb-7c80-46a8-9a28-cabbfa502eaa,mgarcia,2026-05-28T03:51:00Z,jkim,2026-05-28T03:51:00Z,jkim
3bb24cb0-6e43-476f-a599-d53b8fa495a9,GR-5003,28064021-ca4e-4b94-9283-7f621e06ec39,bfd240ca-32ba-4623-b26b-0c1f40b9196f,jkim,2026-08-27T14:32:00Z,asharma,2026-08-27T14:32:00Z,jkim
c33ce8d7-9703-41c9-b674-e27fb78c0687,GR-5004,72ca7572-2da2-4c1a-b236-a6bb52fda669,9700af2f-cafa-4d98-9f40-e1f13151b649,lchen,2026-08-04T10:32:00Z,system,2026-08-04T10:32:00Z,jkim
c9387318-e77b-497d-8918-62944f235380,GR-5005,72ca7572-2da2-4c1a-b236-a6bb52fda669,eb366403-27af-4380-9d74-800a53ab8081,lchen,2026-08-24T21:38:00Z,lchen,2026-08-24T21:38:00Z,admin
87d90258-6c7c-4aec-8833-c5fdae25cc24,GR-5006,bb55ad0d-6743-45f7-ac27-22e39ba62971,7420b029-22ee-4015-94d4-fb873fa6ca32,system,2026-07-17T12:00:00Z,admin,2026-07-17T12:00:00Z,jkim
5d87a92a-1eb9-4773-b381-82f4974ff4a8,GR-5007,ce822ce6-9bb1-4be9-a015-4eb08b001ac9,322c1e37-016e-43cb-bd18-5b1321d9c55a,lchen,2026-05-27T06:03:00Z,asharma,2026-05-27T06:03:00Z,p.rossi
a0e4e769-826c-4307-976e-c48df2f2711b,GR-5008,b1229960-1f53-448f-b361-459cab043f68,ca358a6f-4cad-4d90-82a8-fdc96fdf9942,mgarcia,2026-07-10T18:52:00Z,system,2026-07-10T18:52:00Z,asharma
5eedb36d-33c9-4846-9271-99ac4aa2ffa7,GR-5009,b1229960-1f53-448f-b361-459cab043f68,7420b029-22ee-4015-94d4-fb873fa6ca32,mgarcia,2026-08-19T18:33:00Z,system,2026-08-19T18:33:00Z,admin
