ID,prNumber,location_ID,status,requestedBy,approvedBy,approvedAt,rejectionReason,createdAt,createdBy,modifiedAt,modifiedBy
d01d5517-b5c0-4527-ab01-98b5fc39150b,PR-3000,e69805a1-5c4e-4512-8c7a-f4c98fc43ced,CLOSED,asharma,asharma,2026-07-25T04:36:00Z,,2026-08-18T02:39:00Z,admin,2026-08-18T02:39:00Z,p.rossi
63496536-4a17-4733-9d7c-1459e8466668,PR-3001,c0e22fb4-3407-4048-acc6-865053730c6c,PENDING_APPROVAL,jkim,,,,2026-02-11T04:09:00Z,system,2026-02-11T04:09:00Z,mgarcia
742db870-603d-40c5-87ff-56cfacab764b,PR-3002,b1da6c9d-61e9-49c2-b3fa-4767b513979f,REJECTED,mgarcia,admin,,Region matter street south author technology amount.,2026-03-07T00:45:00Z,p.rossi,2026-03-07T00:45:00Z,admin
846f7dce-2795-4fba-bc47-ef5130a59037,PR-3003,ca358a6f-4cad-4d90-82a8-fdc96fdf9942,PENDING_APPROVAL,admin,,,,2026-05-05T16:26:00Z,admin,2026-05-05T16:26:00Z,system
7ce3dc60-e4db-4049-8ec8-e5803e09f7e2,PR-3004,19dae37a-da1c-418a-9f78-2ce52348d8ca,CLOSED,admin,system,2026-05-07T09:11:00Z,,2026-07-09T12:17:00Z,lchen,2026-07-09T12:17:00Z,lchen
924eb21c-9642-4e62-a9f3-0d750f29731b,PR-3005,2007bcd8-2427-419a-b2d1-c4e296ae698e,PENDING_APPROVAL,asharma,,,,2026-05-12T18:08:00Z,admin,2026-05-12T18:08:00Z,mgarcia
ab4f7e49-69b2-4aa0-aba1-b1494a02f2d2,PR-3006,fe17044a-0a91-4c99-9628-c7c2c76f5905,APPROVED,admin,jkim,2026-04-08T20:15:00Z,,2026-08-14T03:30:00Z,mgarcia,2026-08-14T03:30:00Z,jkim
550cf5f5-e7ce-41f6-a5cf-3dcc4ebb7598,PR-3007,a027b987-01e1-4b1e-a380-1b24e693f738,REJECTED,asharma,admin,,Least back fine.,2026-02-13T18:43:00Z,system,2026-02-13T18:43:00Z,jkim
4e9ab03c-ae10-4d5c-a6d1-91a43aace324,PR-3008,0ad37519-64dd-417b-a533-120bd1a69b6d,APPROVED,lchen,mgarcia,2026-08-21T10:57:00Z,,2026-07-02T09:04:00Z,asharma,2026-07-02T09:04:00Z,system
1f0f1faa-6089-4269-8d15-887744298768,PR-3009,f865d5fb-7c80-46a8-9a28-cabbfa502eaa,DRAFT,jkim,,,,2026-08-07T12:46:00Z,admin,2026-08-07T12:46:00Z,p.rossi
