ID,movementType,part_ID,fromLocation_ID,toLocation_ID,quantity,reference,remarks,status,createdAt,createdBy,modifiedAt,modifiedBy
8c82dd37-5e28-426d-8480-0d91315c7d95,TRANSFER,bc9bf8d8-a6f5-4994-9916-059e119d502a,fe003cc5-d3e7-49d0-a320-d1278a5d8a09,0ad37519-64dd-417b-a533-120bd1a69b6d,161,REF-534346,,COMPLETED,2026-06-26T19:24:00Z,p.rossi,2026-06-26T19:24:00Z,admin
0418d392-ec53-4100-b865-d49e1766d49f,INBOUND,89b46b97-cd1d-4acd-bbc4-e1dc8ec7e2e2,,0ad37519-64dd-417b-a533-120bd1a69b6d,117,REF-611751,,COMPLETED,2026-06-23T00:43:00Z,admin,2026-06-23T00:43:00Z,admin
7aeafbd9-4418-44fe-9dc1-032780a4254d,INBOUND,13305991-e380-4e25-81ec-5e7f956f046d,,29ffcb7b-db6d-4792-839d-227cb9cf340e,17,REF-934328,,COMPLETED,2026-06-07T02:16:00Z,system,2026-06-07T02:16:00Z,admin
6429f036-aef3-40cc-ace5-3ff7dbec6cac,OUTBOUND,c18e95af-f516-490d-bd1c-54c53ace05f2,3a112cd1-76d9-4807-b433-bceb77a60ad0,,87,REF-673896,,FAILED,2026-07-24T13:07:00Z,admin,2026-07-24T13:07:00Z,system
6923a1ed-9d1e-4f85-99a0-162e77e1aae8,TRANSFER,35087f29-0497-45f7-a397-61ca16ef1319,759c807f-812b-496b-ae95-f989c539d42f,9c009766-f0d1-4133-8643-8736c78c3b1a,5,REF-230272,,COMPLETED,2026-08-15T03:10:00Z,system,2026-08-15T03:10:00Z,system
901d97e2-13ce-42ca-bf9e-931d5d14c1f7,INBOUND,ba798a88-e134-4615-b914-7d0d3229df06,,00cd03b3-6d69-4191-afdc-1ec2d368ab67,167,REF-416528,Light place someone.,COMPLETED,2026-08-02T01:02:00Z,jkim,2026-08-02T01:02:00Z,p.rossi
c23acbe7-6682-4afc-a738-65b8a90957e4,TRANSFER,b51b6aa7-f148-41c9-bd4d-8d578dfcfd94,26c5e83c-6987-456b-a0d9-8a09b356fd33,eb366403-27af-4380-9d74-800a53ab8081,14,REF-515594,,COMPLETED,2026-07-11T02:03:00Z,system,2026-07-11T02:03:00Z,p.rossi
03b4dcbe-20f4-430b-ac0d-c9e62c7743a2,INBOUND,01bcdde8-4496-4eb6-a00f-5285b11dfc91,,aee88716-e254-467c-922e-71ac3778bde9,34,REF-722518,Argue medical financial later arm story.,PENDING,2026-08-27T17:30:00Z,jkim,2026-08-27T17:30:00Z,jkim
24712ed7-2bc8-4920-900c-5fd2867e0224,TRANSFER,01bcdde8-4496-4eb6-a00f-5285b11dfc91,cfb0ec19-feb6-4d4d-aa15-6bae1beb5c44,00cd03b3-6d69-4191-afdc-1ec2d368ab67,59,REF-501677,Popular within bed.,COMPLETED,2026-05-31T19:30:00Z,jkim,2026-05-31T19:30:00Z,mgarcia
891ef0a6-b036-4438-9151-0e80151658c1,TRANSFER,f075bd52-f7ab-416e-b691-122e7efe58da,ca358a6f-4cad-4d90-82a8-fdc96fdf9942,4576857b-c5ee-4fe7-9ba9-832e5145de67,18,REF-656278,,FAILED,2026-07-10T19:19:00Z,p.rossi,2026-07-10T19:19:00Z,asharma
