ID,supplierCode,name,email,phone,rating,leadTimeDays,isEligible,createdAt,createdBy,modifiedAt,modifiedBy
278466be-99b9-4678-abf4-091d5e0a8c64,SUP-2000,"Sellers, George and Burns",hickmannatasha@allen-allen.org,417-618-2278,2.8,30,true,2026-01-21T07:00:00Z,lchen,2026-01-21T07:00:00Z,jkim
708e3195-000a-4dc8-b29b-9225be0a0fe6,SUP-2001,"Brennan, Henderson and Lewis",jenniferross@santos.com,531.250.9839,2.9,6,true,2026-02-19T05:25:00Z,mgarcia,2026-02-19T05:25:00Z,mgarcia
64f7a6f7-ce7c-4e7d-b04e-d6bac07269a1,SUP-2002,Zimmerman Inc,carlosjohnson@jones-young.info,582.399.7376,4.2,23,true,2026-08-07T12:47:00Z,mgarcia,2026-08-07T12:47:00Z,admin
0377357c-978a-4046-a7d2-c6fd39745a1c,SUP-2003,Hopkins LLC,ujenkins@nunez.com,4658133387,4.4,9,true,2025-11-14T10:21:00Z,admin,2025-11-14T10:21:00Z,admin
ee79cfe1-6853-471f-9026-494eaee1c844,SUP-2004,Ramirez and Sons,ramosmichelle@garcia.com,432-867-7360,2.9,12,false,2026-05-29T10:59:00Z,admin,2026-05-29T10:59:00Z,p.rossi
43e41a8e-3152-44d1-833f-5747298c3d11,SUP-2005,Galloway LLC,smitchell@cowan.com,243.909.8050,2.9,24,true,2025-08-16T16:43:00Z,system,2025-08-16T16:43:00Z,admin
e0fcded3-577c-436d-908c-5dbb9210b941,SUP-2006,"Calhoun, Schmidt and Brown",yorkcasey@leonard.biz,793-699-0916,3.0,16,true,2026-08-08T08:46:00Z,mgarcia,2026-08-08T08:46:00Z,admin
385a8512-38b6-4ab4-a4f7-cb03aaee4395,SUP-2007,Santiago LLC,josephanderson@evans.com,6794911838,4.2,14,true,2026-05-03T16:59:00Z,mgarcia,2026-05-03T16:59:00Z,admin
9045530a-97c5-42e6-9139-eed7f7a73da5,SUP-2008,Ibarra-Suarez,justin78@turner.net,4846124118,4.1,14,true,2026-07-23T15:38:00Z,jkim,2026-07-23T15:38:00Z,jkim
572f29ae-1ec4-4f46-8275-02c314223a70,SUP-2009,Jacobs-Robbins,gracefarrell@freeman.com,+1-264-300-5242,4.9,10,true,2026-04-16T18:23:00Z,jkim,2026-04-16T18:23:00Z,lchen
c26a7127-44ca-4be6-8261-dd85850002c6,SUP-2010,Landry Ltd,amydavenport@tran.com,4535315869,4.5,15,true,2026-01-17T12:14:00Z,system,2026-01-17T12:14:00Z,lchen
e2b1dd94-f7d8-42ce-af93-925c8feba175,SUP-2011,Cherry and Sons,vjohnson@patton-jenkins.com,521-260-7337x54,4.3,2,true,2026-05-22T15:58:00Z,mgarcia,2026-05-22T15:58:00Z,system
cd414ac6-9003-4640-a82c-be0a40a4e4f8,SUP-2012,"Lee, Murphy and Lin",michael86@zavala.com,329-840-1965x56,3.3,12,true,2026-07-23T02:02:00Z,p.rossi,2026-07-23T02:02:00Z,mgarcia
805a5e4c-32c9-4678-8928-59f2503b8b59,SUP-2013,"Lee, Williams and Graham",michaeljones@mccall.com,001-448-646-564,3.5,14,true,2025-12-11T14:18:00Z,lchen,2025-12-11T14:18:00Z,asharma
f5d93936-4e0d-479f-b56f-ec77e0b45c64,SUP-2014,Kelley-Smith,jason99@morris.net,221.248.9513x43,4.9,23,true,2026-05-21T10:18:00Z,lchen,2026-05-21T10:18:00Z,lchen
3c938eee-4d04-49ea-abfd-0e10847817e2,SUP-2015,Riggs PLC,gibsonolivia@lee.com,(501)363-2870,4.6,11,true,2026-03-26T11:25:00Z,asharma,2026-03-26T11:25:00Z,system
ac358f4d-c1e8-48a9-b789-fc94923fe6a9,SUP-2016,Anderson-Marshall,stephanie79@mcclain.info,(677)943-4873,3.3,16,false,2025-11-04T04:19:00Z,p.rossi,2025-11-04T04:19:00Z,asharma
